match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,Match Number
"PBKS vs RCB Cricket Scorecard, Final at Ahmedabad, June 03, 2025",Punjab Kings,Arshdeep Singh,4,0,40,3,10.00,8,3,2,2,0,74
"PBKS vs RCB Cricket Scorecard, Final at Ahmedabad, June 03, 2025",Punjab Kings,Kyle Jamieson,4,0,48,3,12.00,9,3,4,3,0,74
"PBKS vs RCB Cricket Scorecard, Final at Ahmedabad, June 03, 2025",Punjab Kings,Azmatullah Omarzai,4,0,35,1,8.75,3,2,1,2,0,74
"PBKS vs RCB Cricket Scorecard, Final at Ahmedabad, June 03, 2025",Punjab Kings,Vijaykumar Vyshak,4,0,30,1,7.50,5,2,0,2,0,74
"PBKS vs RCB Cricket Scorecard, Final at Ahmedabad, June 03, 2025",Punjab Kings,Yuzvendra Chahal,4,0,37,1,9.25,3,1,2,0,0,74
"PBKS vs RCB Cricket Scorecard, Final at Ahmedabad, June 03, 2025",Royal Challengers Bengaluru,Bhuvneshwar Kumar,4,0,38,2,9.50,9,2,3,0,0,74
"PBKS vs RCB Cricket Scorecard, Final at Ahmedabad, June 03, 2025",Royal Challengers Bengaluru,Yash Dayal,3,0,18,1,6.00,10,1,1,0,0,74
"PBKS vs RCB Cricket Scorecard, Final at Ahmedabad, June 03, 2025",Royal Challengers Bengaluru,Josh Hazlewood,4,0,54,1,13.50,7,3,5,2,0,74
"PBKS vs RCB Cricket Scorecard, Final at Ahmedabad, June 03, 2025",Royal Challengers Bengaluru,Krunal Pandya,4,0,17,2,4.25,12,0,1,0,0,74
"PBKS vs RCB Cricket Scorecard, Final at Ahmedabad, June 03, 2025",Royal Challengers Bengaluru,Suyash Sharma,2,0,19,0,9.50,4,0,2,0,0,74
"PBKS vs RCB Cricket Scorecard, Final at Ahmedabad, June 03, 2025",Royal Challengers Bengaluru,Romario Shepherd,3,0,30,1,10.00,5,2,2,1,0,74
"MI vs PBKS Cricket Scorecard, Qualifier 2 at Ahmedabad, June 01, 2025",Punjab Kings,Arshdeep Singh,4,0,44,0,11.00,4,7,0,2,0,73
"MI vs PBKS Cricket Scorecard, Qualifier 2 at Ahmedabad, June 01, 2025",Punjab Kings,Kyle Jamieson,4,0,30,1,7.50,8,2,1,1,0,73
