Team 1,Team 2,Winner,Margin,Ground,Match Date,Match Number
PKBS,RCB,RCB,6 runs,Ahmedabad,"Jun 3, 2025",74
MI,PKBS,PKBS,5 wickets,Ahmedabad,"Jun 1, 2025",73
GT,MI,MI,20 runs,New Chandigarh,"May 30, 2025",72
PKBS,RCB,RCB,8 wickets,New Chandigarh,"May 29, 2025",71
LSG,RCB,RCB,6 wickets,Lucknow,"May 27, 2025",70
MI,PKBS,PKBS,7 wickets,Jaipur,"May 26, 2025",69
KKR,SRH,SRH,110 runs,Delhi,"May 25, 2025",68
GT,CSK,CSK,83 runs,Ahmedabad,"May 25, 2025",67
DC,PKBS,DC,6 wickets,Jaipur,"May 24, 2025",66
RCB,SRH,SRH,42 runs,Lucknow,"May 23, 2025",65
GT,LSG,LSG,33 runs,Ahmedabad,"May 22, 2025",64
MI,DC,MI,59 runs,Wankhede,"May 21, 2025",63
CSK,RR,RR,6 wickets,Delhi,"May 20, 2025",62
LSG,SRH,SRH,6 wickets,Lucknow,"May 19, 2025",61
DC,GT,GT,10 wickets,Delhi,"May 18, 2025",60
RR,PKBS,PKBS,10 runs,Jaipur,"May 18, 2025",59
RCB,KKR,no result,-,Bengaluru,"May 17, 2025",58
KKR,CSK,CSK,2 wickets,Eden Gardens,"May 7, 2025",57
MI,GT,GT,3 wickets,Wankhede,"May 6, 2025",56
SRH,DC,no result,-,Hyderabad,"May 5, 2025",55
PKBS,LSG,PKBS,37 runs,Dharamsala,"May 4, 2025",54
KKR,RR,KKR,1 run,Eden Gardens,"May 4, 2025",53
RCB,CSK,RCB,2 runs,Bengaluru,"May 3, 2025",52
GT,SRH,GT,38 runs,Ahmedabad,"May 2, 2025",51
RR,MI,MI,100 runs,Jaipur,"May 1, 2025",50
CSK,PKBS,PKBS,4 wickets,Chennai,"Apr 30, 2025",49
DC,KKR,KKR,14 runs,Delhi,"Apr 29, 2025",48
RR,GT,RR,8 wickets,Jaipur,"Apr 28, 2025",47
DC,RCB,RCB,6 wickets,Delhi,"Apr 27, 2025",46
MI,LSG,MI,54 runs,Wankhede,"Apr 27, 2025",45
KKR,PKBS,no result,-,Eden Gardens,"Apr 26, 2025",44
CSK,SRH,SRH,5 wickets,Chennai,"Apr 25, 2025",43
RCB,RR,RCB,11 runs,Bengaluru,"Apr 24, 2025",42
SRH,MI,MI,7 wickets,Hyderabad,"Apr 23, 2025",41
LSG,DC,DC,8 wickets,Lucknow,"Apr 22, 2025",40
KKR,GT,GT,39 runs,Eden Gardens,"Apr 21, 2025",39
MI,CSK,MI,9 wickets,Wankhede,"Apr 20, 2025",38
PKBS,RCB,RCB,7 wickets,New Chandigarh,"Apr 20, 2025",37
RR,LSG,LSG,2 runs,Jaipur,"Apr 19, 2025",36
GT,DC,GT,7 wickets,Ahmedabad,"Apr 19, 2025",35
RCB,PKBS,PKBS,5 wickets,Bengaluru,"Apr 18, 2025",34
MI,SRH,MI,4 wickets,Wankhede,"Apr 17, 2025",33
DC,RR,tied,-,Delhi,"Apr 16, 2025",32
PKBS,KKR,PKBS,16 runs,New Chandigarh,"Apr 15, 2025",31
LSG,CSK,CSK,5 wickets,Lucknow,"Apr 14, 2025",30
DC,MI,MI,12 runs,Delhi,"Apr 13, 2025",29
RR,RCB,RCB,9 wickets,Jaipur,"Apr 13, 2025",28
SRH,PKBS,SRH,8 wickets,Hyderabad,"Apr 12, 2025",27
LSG,GT,LSG,6 wickets,Lucknow,"Apr 12, 2025",26
CSK,KKR,KKR,8 wickets,Chennai,"Apr 11, 2025",25
RCB,DC,DC,6 wickets,Bengaluru,"Apr 10, 2025",24
GT,RR,GT,58 runs,Ahmedabad,"Apr 9, 2025",23
PKBS,CSK,PKBS,18 runs,New Chandigarh,"Apr 8, 2025",22
KKR,LSG,LSG,4 runs,Eden Gardens,"Apr 8, 2025",21
MI,RCB,RCB,12 runs,Wankhede,"Apr 7, 2025",20
SRH,GT,GT,7 wickets,Hyderabad,"Apr 6, 2025",19
PKBS,RR,RR,50 runs,New Chandigarh,"Apr 5, 2025",18
CSK,DC,DC,25 runs,Chennai,"Apr 5, 2025",17
LSG,MI,LSG,12 runs,Lucknow,"Apr 4, 2025",16
KKR,SRH,KKR,80 runs,Eden Gardens,"Apr 3, 2025",15
RCB,GT,GT,8 wickets,Bengaluru,"Apr 2, 2025",14
LSG,PKBS,PKBS,8 wickets,Lucknow,"Apr 1, 2025",13
MI,KKR,MI,8 wickets,Wankhede,"Mar 31, 2025",12
RR,CSK,RR,6 runs,Guwahati,"Mar 30, 2025",11
DC,SRH,DC,7 wickets,Visakhapatnam,"Mar 30, 2025",10
GT,MI,GT,36 runs,Ahmedabad,"Mar 29, 2025",9
CSK,RCB,RCB,50 runs,Chennai,"Mar 28, 2025",8
SRH,LSG,LSG,5 wickets,Hyderabad,"Mar 27, 2025",7
RR,KKR,KKR,8 wickets,Guwahati,"Mar 26, 2025",6
GT,PKBS,PKBS,11 runs,Ahmedabad,"Mar 25, 2025",5
DC,LSG,DC,1 wicket,Visakhapatnam,"Mar 24, 2025",4
CSK,MI,CSK,4 wickets,Chennai,"Mar 23, 2025",3
SRH,RR,SRH,44 runs,Hyderabad,"Mar 23, 2025",2
KKR,RCB,RCB,7 wickets,Eden Gardens,"Mar 22, 2025",1
