name,image,team,battingStyle,bowlingStyle,playingRole,description
Shaik Rasheed,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/345000/345086.1.png",Chennai Super Kings,Right hand Bat,Legbreak,Batter,
Dewald Brevis,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/335100/335134.1.png",Chennai Super Kings,Right hand Bat,Legbreak,Batting Allrounder,
Anshul Kamboj,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/381300/381389.1.png",Chennai Super Kings,Right hand Bat,Right arm Medium,Allrounder,
MS Dhoni  ,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319900/319946.3.png",Chennai Super Kings,Right hand Bat,Right arm Medium,Wicketkeeper Batter,"MS Dhoni probably ranks as the third-most popular Indian cricketer ever, behind only Sachin Tendulkar and Virat Kohli. He emerged from a cricketing backwater, the eastern Indian state of Jharkhand, and made it to the top with a home-made batting and wicketkeeping technique, and a style of captaincy that scaled the highs and hit the lows of both conservatism and unorthodoxy."
Shivam Dube,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383700/383773.1.png",Chennai Super Kings,Left hand Bat,Right arm Medium,Allrounder,"A tall pace-bowling allrounder from the suburbs of Mumbai who started in the city's robust school cricket circuit, Shivam Dube shot to limelight in domestic cricket and the IPL with his almost unparallel six-hitting ability, especially against spin."
Khaleel Ahmed,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322200/322268.1.png",Chennai Super Kings,Right hand Bat,Left arm Fast medium,Bowler,"A left-arm medium pacer and opening bowler for India Under-19s, Khaleel Ahmed has been a dependable performer at the youth level. He came into the Under-19 World Cup in 2016 with 12 wickets in three innings, including 3 for 29 against Sri Lanka in the final of the Tri-Nation Under-19s tournament in Colombo. He couldn't quite extend that wicket-taking form into the World Cup, but was a regular presence in the side."
Deepak Hooda,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/345000/345083.1.png",Chennai Super Kings,Right hand Bat,Right arm Offbreak,Allrounder,"An allrounder who can bat in any position, Deepak Hooda also bowls offbreaks, offers plenty of athleticism as a boundary fielder, and is an asset in any T20 side. His big hitting as a 19-year-old in his debut IPL season, in 2015, earned with the nickname ""Hurricane Hooda"", but more importantly, got him a Rs 4.2 crore (US$ 622,000 approx) contract with Sunrisers Hyderabad at the next auction."
Matheesha Pathirana,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/355400/355402.1.png",Chennai Super Kings,Right hand Bat,Right arm Fast,Bowler,"Plucked out of the T10 league, Matheesha Pathirana made his IPL debut for CSK in 2022, when he dismissed Shubman Gill and Hardik Pandya"
Ayush Mhatre,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/390300/390331.2.png",Chennai Super Kings,Right hand Bat,Right arm Offbreak,Batting Allrounder,"Ayush Mhatre is yet another teen batting sensation from Mumbai. He took to the game when he was five, but it was at 15 that he transitioned to thinking about professional cricket."
Ravindra Jadeja,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316600.2.png",Chennai Super Kings,Left hand Bat,Slow Left arm Orthodox,Allrounder,"Dissed when he first appeared, Ravindra Jadeja won the doubters and haters over with his deeds, and now sits among the elite of Indian spin bowling."
